iter	Passed	Remaining
0	7	7711
1	18	9248
2	32	10871
3	45	11310
4	53	10680
5	64	10718
6	84	12019
7	95	11802
8	103	11419
9	129	12786
10	138	12433
11	150	12395
12	168	12772
13	179	12676
14	192	12630
15	203	12506
16	228	13196
17	237	12946
18	247	12775
19	257	12603
20	263	12271
21	270	12012
22	275	11693
23	280	11397
24	286	11180
25	294	11049
26	300	10840
27	305	10607
28	310	10408
29	316	10248
30	321	10064
31	326	9885
32	332	9740
33	337	9582
34	342	9438
35	347	9305
36	352	9167
37	358	9079
38	363	8964
39	368	8855
40	373	8744
41	378	8637
42	383	8538
43	389	8458
44	394	8373
45	399	8277
46	404	8201
47	409	8121
48	413	8029
49	421	8008
50	426	7939
51	431	7862
52	443	7920
53	449	7880
54	464	7986
55	475	8017
56	490	8120
57	500	8127
58	508	8102
59	520	8148
60	525	8081
61	535	8102
62	543	8088
63	549	8030
64	553	7965
65	558	7910
66	568	7909
67	573	7861
68	578	7806
69	583	7755
70	589	7708
71	595	7679
72	600	7630
73	606	7592
74	616	7605
75	622	7565
76	627	7519
77	632	7472
78	637	7427
79	642	7384
80	647	7341
81	659	7379
82	663	7331
83	668	7295
84	673	7254
85	679	7217
86	684	7181
87	688	7138
88	694	7107
89	699	7071
90	704	7034
91	709	7000
92	713	6961
93	718	6926
94	724	6901
95	729	6870
96	734	6833
97	739	6802
98	746	6790
99	751	6761
100	756	6733
101	763	6726
102	768	6695
103	774	6675
104	786	6699
105	795	6707
106	805	6719
107	816	6743
108	826	6755
109	834	6755
110	847	6785
111	862	6835
112	877	6884
113	886	6886
114	894	6882
115	901	6870
116	908	6855
117	913	6826
118	917	6796
119	925	6784
120	931	6766
121	937	6746
122	941	6713
123	945	6682
124	953	6673
125	958	6648
126	963	6621
127	968	6598
128	973	6573
129	979	6555
130	984	6530
131	989	6504
132	994	6482
133	1000	6463
134	1005	6440
135	1009	6413
136	1014	6393
137	1020	6372
138	1025	6349
139	1030	6328
140	1035	6308
141	1040	6286
142	1045	6266
143	1051	6247
144	1055	6226
145	1060	6205
146	1065	6185
147	1071	6165
148	1076	6146
149	1081	6126
150	1085	6105
151	1091	6087
152	1096	6067
153	1100	6045
154	1105	6029
155	1110	6009
156	1115	5989
157	1120	5969
158	1124	5947
159	1129	5931
160	1134	5912
161	1139	5893
162	1144	5875
163	1149	5860
164	1154	5843
165	1159	5823
166	1164	5806
167	1169	5790
168	1174	5774
169	1179	5757
170	1184	5741
171	1189	5725
172	1194	5710
173	1199	5695
174	1204	5678
175	1209	5662
176	1214	5647
177	1219	5631
178	1224	5616
179	1229	5601
180	1234	5585
181	1239	5570
182	1244	5556
183	1249	5541
184	1255	5528
185	1260	5515
186	1265	5501
187	1270	5488
188	1275	5474
189	1280	5459
190	1286	5447
191	1291	5433
192	1295	5418
193	1301	5406
194	1306	5392
195	1311	5378
196	1316	5365
197	1321	5351
198	1326	5339
199	1331	5326
200	1336	5312
201	1344	5312
202	1349	5298
203	1354	5284
204	1360	5275
205	1364	5259
206	1369	5246
207	1381	5259
208	1387	5250
209	1394	5246
210	1403	5247
211	1409	5237
212	1416	5234
213	1423	5228
214	1427	5213
